09:46:51 up 54 min, 1 user, load average: 0.14, 0.06, 0.05
09:47:01 up 54 min, 1 user, load average: 0.20, 0.07, 0.06
09:47:11 up 55 min, 1 user, load average: 0.17, 0.07, 0.06
09:47:21 up 55 min, 1 user, load average: 0.14, 0.06, 0.05
09:47:31 up 55 min, 1 user, load average: 0.12, 0.06, 0.05
09:47:41 up 55 min, 1 user, load average: 0.10, 0.06, 0.05
09:47:51 up 55 min, 1 user, load average: 0.08, 0.06, 0.05
09:48:01 up 55 min, 1 user, load average: 0.07, 0.05, 0.05
09:48:11 up 56 min, 1 user, load average: 0.06, 0.05, 0.05
09:48:21 up 56 min, 1 user, load average: 0.05, 0.05, 0.05
09:48:31 up 56 min, 1 user, load average: 0.04, 0.05, 0.05
09:48:41 up 56 min, 1 user, load average: 0.04, 0.05, 0.05
09:48:51 up 56 min, 1 user, load average: 0.03, 0.04, 0.05
09:49:01 up 56 min, 1 user, load average: 0.02, 0.04, 0.04
09:49:11 up 57 min, 1 user, load average: 0.02, 0.04, 0.04
09:49:21 up 57 min, 1 user, load average: 0.02, 0.04, 0.04
09:49:31 up 57 min, 1 user, load average: 0.01, 0.04, 0.04
09:49:41 up 57 min, 1 user, load average: 0.01, 0.04, 0.04
09:49:51 up 57 min, 1 user, load average: 0.01, 0.03, 0.04
09:50:01 up 57 min, 1 user, load average: 0.01, 0.03, 0.04
09:50:11 up 58 min, 1 user, load average: 0.01, 0.03, 0.04
09:50:21 up 58 min, 1 user, load average: 0.00, 0.03, 0.04
09:50:31 up 58 min, 1 user, load average: 0.00, 0.03, 0.04
09:50:41 up 58 min, 1 user, load average: 0.00, 0.03, 0.04
09:50:51 up 58 min, 1 user, load average: 0.00, 0.03, 0.03
09:51:01 up 58 min, 1 user, load average: 0.00, 0.02, 0.03
09:51:11 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:51:21 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:51:31 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:51:41 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:51:51 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:52:01 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:52:11 up 1:00, 1 user, load average: 0.00, 0.02, 0.03
09:52:21 up 1:00, 1 user, load average: 0.15, 0.05, 0.04
09:52:31 up 1:00, 1 user, load average: 0.13, 0.05, 0.04
09:52:41 up 1:00, 1 user, load average: 0.11, 0.05, 0.04
09:52:51 up 1:00, 1 user, load average: 0.09, 0.04, 0.03
09:53:01 up 1:00, 1 user, load average: 0.08, 0.04, 0.03
09:53:11 up 1:01, 1 user, load average: 0.06, 0.04, 0.03
09:53:21 up 1:01, 1 user, load average: 0.05, 0.04, 0.03
09:53:31 up 1:01, 1 user, load average: 0.05, 0.04, 0.03
09:53:41 up 1:01, 1 user, load average: 0.04, 0.03, 0.03
