111
1100
111
09:47:01 up 54 min, 1 user, load average: 0.20, 0.07, 0.06
09:47:21 up 55 min, 1 user, load average: 0.14, 0.06, 0.05
09:47:41 up 55 min, 1 user, load average: 0.10, 0.06, 0.05
09:48:01 up 55 min, 1 user, load average: 0.07, 0.05, 0.05
09:48:21 up 56 min, 1 user, load average: 0.05, 0.05, 0.05
09:48:41 up 56 min, 1 user, load average: 0.04, 0.05, 0.05
09:49:01 up 56 min, 1 user, load average: 0.02, 0.04, 0.04
09:49:21 up 57 min, 1 user, load average: 0.02, 0.04, 0.04
09:49:41 up 57 min, 1 user, load average: 0.01, 0.04, 0.04
09:50:01 up 57 min, 1 user, load average: 0.01, 0.03, 0.04
09:50:21 up 58 min, 1 user, load average: 0.00, 0.03, 0.04
09:50:41 up 58 min, 1 user, load average: 0.00, 0.03, 0.04
09:51:01 up 58 min, 1 user, load average: 0.00, 0.02, 0.03
09:51:21 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:51:41 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:52:01 up 59 min, 1 user, load average: 0.00, 0.02, 0.03
09:52:21 up 1:00, 1 user, load average: 0.15, 0.05, 0.04
09:52:41 up 1:00, 1 user, load average: 0.11, 0.05, 0.04
09:53:01 up 1:00, 1 user, load average: 0.08, 0.04, 0.03
09:53:21 up 1:01, 1 user, load average: 0.05, 0.04, 0.03
09:53:41 up 1:01, 1 user, load average: 0.04, 0.03, 0.03
09:54:01 up 1:01, 1 user, load average: 0.03, 0.03, 0.03
09:54:21 up 1:02, 1 user, load average: 0.02, 0.03, 0.03
09:54:41 up 1:02, 1 user, load average: 0.01, 0.03, 0.02
09:55:01 up 1:02, 1 user, load average: 0.08, 0.04, 0.03
09:55:21 up 1:03, 1 user, load average: 0.05, 0.04, 0.03
09:55:41 up 1:03, 1 user, load average: 0.04, 0.03, 0.02
09:56:01 up 1:03, 1 user, load average: 0.03, 0.03, 0.02
09:56:21 up 1:04, 1 user, load average: 0.09, 0.04, 0.03
09:56:41 up 1:04, 1 user, load average: 0.06, 0.04, 0.02
09:57:01 up 1:04, 1 user, load average: 0.04, 0.04, 0.02
09:57:21 up 1:05, 1 user, load average: 0.03, 0.03, 0.02
09:57:41 up 1:05, 1 user, load average: 0.02, 0.03, 0.02
09:58:01 up 1:05, 1 user, load average: 0.01, 0.03, 0.02
09:58:21 up 1:06, 1 user, load average: 0.01, 0.02, 0.01
09:58:41 up 1:06, 1 user, load average: 0.01, 0.02, 0.01
09:59:01 up 1:06, 1 user, load average: 0.00, 0.02, 0.01
09:59:21 up 1:07, 1 user, load average: 0.00, 0.02, 0.01
09:59:41 up 1:07, 1 user, load average: 0.00, 0.02, 0.01
10:00:01 up 1:07, 1 user, load average: 0.00, 0.01, 0.00
10:00:21 up 1:08, 1 user, load average: 0.00, 0.01, 0.00
10:00:41 up 1:08, 1 user, load average: 0.00, 0.01, 0.00
10:01:01 up 1:08, 1 user, load average: 0.06, 0.03, 0.00
10:01:21 up 1:09, 1 user, load average: 0.04, 0.02, 0.00
10:01:41 up 1:09, 1 user, load average: 0.03, 0.02, 0.00
10:02:01 up 1:09, 1 user, load average: 0.09, 0.04, 0.00
10:02:21 up 1:10, 1 user, load average: 0.06, 0.03, 0.00
10:02:41 up 1:10, 1 user, load average: 0.12, 0.05, 0.01
10:03:01 up 1:10, 1 user, load average: 0.16, 0.06, 0.01
10:03:21 up 1:11, 1 user, load average: 0.12, 0.05, 0.01
10:03:41 up 1:11, 1 user, load average: 0.08, 0.05, 0.01
10:04:01 up 1:11, 1 user, load average: 0.06, 0.05, 0.00
10:04:21 up 1:12, 1 user, load average: 0.04, 0.04, 0.00
10:04:41 up 1:12, 1 user, load average: 0.03, 0.04, 0.00
10:05:01 up 1:12, 1 user, load average: 0.02, 0.04, 0.00
3167
